model,dataset,optimizer,lr,batch_size,epochs,pin_memory,device,test_acc,train_time_ms,flops_g
ResNet-18,MNIST,SGD,0.001,16,10,False,cuda,99.29,348446.1,1.116
ResNet-50,MNIST,SGD,0.001,16,10,False,cuda,99.11,757788.7,2.623
ResNet-18,MNIST,SGD,0.0001,16,10,False,cuda,98.41,365280.1,1.116
ResNet-50,MNIST,SGD,0.0001,16,10,False,cuda,97.84,734883.8,2.623
ResNet-18,MNIST,Adam,0.001,16,10,False,cuda,99.48,376481.8,1.116
ResNet-50,MNIST,Adam,0.001,16,10,False,cuda,99.36,830720.7,2.623
ResNet-18,MNIST,Adam,0.0001,16,10,False,cuda,99.55,377366.2,1.116
ResNet-50,MNIST,Adam,0.0001,16,10,False,cuda,99.45,815365.0,2.623
ResNet-18,MNIST,SGD,0.001,32,10,False,cuda,99.09,179119.7,1.116
ResNet-50,MNIST,SGD,0.001,32,10,False,cuda,98.89,396965.3,2.623
ResNet-18,MNIST,SGD,0.0001,32,10,False,cuda,97.6,188931.6,1.116
ResNet-50,MNIST,SGD,0.0001,32,10,False,cuda,95.84,397556.3,2.623
ResNet-18,MNIST,Adam,0.001,32,10,False,cuda,99.43,194672.4,1.116
ResNet-50,MNIST,Adam,0.001,32,10,False,cuda,99.47,412855.6,2.623
ResNet-18,MNIST,Adam,0.0001,32,10,False,cuda,99.39,199714.5,1.116
ResNet-50,MNIST,Adam,0.0001,32,10,False,cuda,99.41,436534.8,2.623
ResNet-18,MNIST,SGD,0.001,16,10,True,cuda,99.35,346972.8,1.116
ResNet-50,MNIST,SGD,0.001,16,10,True,cuda,99.16,768833.1,2.623
ResNet-18,MNIST,SGD,0.0001,16,10,True,cuda,98.4,337954.6,1.116
ResNet-50,MNIST,SGD,0.0001,16,10,True,cuda,97.92,708772.6,2.623
ResNet-18,MNIST,Adam,0.001,16,10,True,cuda,99.46,339365.3,1.116
ResNet-50,MNIST,Adam,0.001,16,10,True,cuda,99.36,753267.5,2.623
ResNet-18,MNIST,Adam,0.0001,16,10,True,cuda,99.44,344750.0,1.116
ResNet-50,MNIST,Adam,0.0001,16,10,True,cuda,99.42,747937.5,2.623
ResNet-18,MNIST,SGD,0.001,32,10,True,cuda,99.11,169007.5,1.116
ResNet-50,MNIST,SGD,0.001,32,10,True,cuda,98.92,366872.0,2.623
ResNet-18,MNIST,SGD,0.0001,32,10,True,cuda,97.36,168166.6,1.116
ResNet-50,MNIST,SGD,0.0001,32,10,True,cuda,95.88,369264.1,2.623
ResNet-18,MNIST,Adam,0.001,32,10,True,cuda,99.49,174123.8,1.116
ResNet-50,MNIST,Adam,0.001,32,10,True,cuda,99.42,396329.0,2.623
ResNet-18,MNIST,Adam,0.0001,32,10,True,cuda,99.41,179356.2,1.116
ResNet-50,MNIST,Adam,0.0001,32,10,True,cuda,99.39,399318.7,2.623
ResNet-18,MNIST,SGD,0.001,16,14,False,cuda,99.3,486911.9,1.116
ResNet-50,MNIST,SGD,0.001,16,14,False,cuda,99.23,1097982.9,2.623
ResNet-18,MNIST,SGD,0.0001,16,14,False,cuda,98.59,511190.6,1.116
ResNet-50,MNIST,SGD,0.0001,16,14,False,cuda,98.14,1095900.8,2.623
ResNet-18,MNIST,Adam,0.001,16,14,False,cuda,99.46,511209.3,1.116
ResNet-50,MNIST,Adam,0.001,16,14,False,cuda,99.41,1161996.3,2.623
ResNet-18,MNIST,Adam,0.0001,16,14,False,cuda,99.51,544316.6,1.116
ResNet-50,MNIST,Adam,0.0001,16,14,False,cuda,99.46,1148224.4,2.623
ResNet-18,MNIST,SGD,0.001,32,14,False,cuda,99.13,244972.9,1.116
ResNet-50,MNIST,SGD,0.001,32,14,False,cuda,98.86,559093.2,2.623
ResNet-18,MNIST,SGD,0.0001,32,14,False,cuda,97.95,252267.3,1.116
ResNet-50,MNIST,SGD,0.0001,32,14,False,cuda,96.74,551255.7,2.623
ResNet-18,MNIST,Adam,0.001,32,14,False,cuda,99.45,265854.9,1.116
ResNet-50,MNIST,Adam,0.001,32,14,False,cuda,99.35,597523.3,2.623
ResNet-18,MNIST,Adam,0.0001,32,14,False,cuda,99.45,285521.7,1.116
ResNet-50,MNIST,Adam,0.0001,32,14,False,cuda,99.41,589966.0,2.623
ResNet-18,MNIST,SGD,0.001,16,14,True,cuda,99.34,446390.0,1.116
ResNet-50,MNIST,SGD,0.001,16,14,True,cuda,99.21,1002176.9,2.623
ResNet-18,MNIST,SGD,0.0001,16,14,True,cuda,98.7,444558.4,1.116
ResNet-50,MNIST,SGD,0.0001,16,14,True,cuda,98.03,1000399.8,2.623
ResNet-18,MNIST,Adam,0.001,16,14,True,cuda,99.49,476471.4,1.116
ResNet-50,MNIST,Adam,0.001,16,14,True,cuda,99.31,1080897.8,2.623
ResNet-18,MNIST,Adam,0.0001,16,14,True,cuda,99.44,477841.4,1.116
ResNet-50,MNIST,Adam,0.0001,16,14,True,cuda,99.42,1078077.1,2.623
ResNet-18,MNIST,SGD,0.001,32,14,True,cuda,99.08,235066.4,1.116
ResNet-50,MNIST,SGD,0.001,32,14,True,cuda,98.9,524627.0,2.623
ResNet-18,MNIST,SGD,0.0001,32,14,True,cuda,97.74,236061.3,1.116
ResNet-50,MNIST,SGD,0.0001,32,14,True,cuda,96.86,524587.3,2.623
ResNet-18,MNIST,Adam,0.001,32,14,True,cuda,99.52,247610.2,1.116
ResNet-50,MNIST,Adam,0.001,32,14,True,cuda,99.44,562755.1,2.623
ResNet-18,MNIST,Adam,0.0001,32,14,True,cuda,99.49,245037.1,1.116
ResNet-50,MNIST,Adam,0.0001,32,14,True,cuda,99.41,561564.4,2.623
ResNet-18,FashionMNIST,SGD,0.001,16,10,False,cuda,92.76,342555.9,1.116
ResNet-50,FashionMNIST,SGD,0.001,16,10,False,cuda,92.74,744167.4,2.623
ResNet-18,FashionMNIST,SGD,0.0001,16,10,False,cuda,89.56,339817.5,1.116
ResNet-50,FashionMNIST,SGD,0.0001,16,10,False,cuda,87.66,729668.2,2.623
ResNet-18,FashionMNIST,Adam,0.001,16,10,False,cuda,93.45,361451.9,1.116
ResNet-50,FashionMNIST,Adam,0.001,16,10,False,cuda,93.51,788504.1,2.623
ResNet-18,FashionMNIST,Adam,0.0001,16,10,False,cuda,93.3,364939.2,1.116
ResNet-50,FashionMNIST,Adam,0.0001,16,10,False,cuda,93.44,791292.1,2.623
ResNet-18,FashionMNIST,SGD,0.001,32,10,False,cuda,92.19,177366.1,1.116
ResNet-50,FashionMNIST,SGD,0.001,32,10,False,cuda,91.76,398976.8,2.623
ResNet-18,FashionMNIST,SGD,0.0001,32,10,False,cuda,86.67,180430.3,1.116
ResNet-50,FashionMNIST,SGD,0.0001,32,10,False,cuda,82.83,389474.4,2.623
ResNet-18,FashionMNIST,Adam,0.001,32,10,False,cuda,93.59,190962.6,1.116
ResNet-50,FashionMNIST,Adam,0.001,32,10,False,cuda,93.44,421742.4,2.623
ResNet-18,FashionMNIST,Adam,0.0001,32,10,False,cuda,93.04,193928.7,1.116
ResNet-50,FashionMNIST,Adam,0.0001,32,10,False,cuda,92.54,426131.8,2.623
ResNet-18,FashionMNIST,SGD,0.001,16,10,True,cuda,93.08,318076.8,1.116
ResNet-50,FashionMNIST,SGD,0.001,16,10,True,cuda,92.64,725163.9,2.623
ResNet-18,FashionMNIST,SGD,0.0001,16,10,True,cuda,89.65,323082.1,1.116
ResNet-50,FashionMNIST,SGD,0.0001,16,10,True,cuda,87.55,731445.0,2.623
ResNet-18,FashionMNIST,Adam,0.001,16,10,True,cuda,93.69,342485.2,1.116
ResNet-50,FashionMNIST,Adam,0.001,16,10,True,cuda,93.58,778862.4,2.623
ResNet-18,FashionMNIST,Adam,0.0001,16,10,True,cuda,93.44,344707.4,1.116
ResNet-50,FashionMNIST,Adam,0.0001,16,10,True,cuda,93.23,766392.4,2.623
ResNet-18,FashionMNIST,SGD,0.001,32,10,True,cuda,91.89,167118.0,1.116
ResNet-50,FashionMNIST,SGD,0.001,32,10,True,cuda,91.96,372718.7,2.623
ResNet-18,FashionMNIST,SGD,0.0001,32,10,True,cuda,87.24,167406.7,1.116
ResNet-50,FashionMNIST,SGD,0.0001,32,10,True,cuda,82.93,381073.2,2.623
ResNet-18,FashionMNIST,Adam,0.001,32,10,True,cuda,93.77,187884.7,1.116
ResNet-50,FashionMNIST,Adam,0.001,32,10,True,cuda,93.74,405269.7,2.623
ResNet-18,FashionMNIST,Adam,0.0001,32,10,True,cuda,92.94,177489.2,1.116
ResNet-50,FashionMNIST,Adam,0.0001,32,10,True,cuda,92.76,404476.2,2.623
ResNet-18,FashionMNIST,SGD,0.001,16,14,False,cuda,93.18,482310.0,1.116
ResNet-50,FashionMNIST,SGD,0.001,16,14,False,cuda,92.89,1033100.3,2.623
ResNet-18,FashionMNIST,SGD,0.0001,16,14,False,cuda,90.58,477279.1,1.116
ResNet-50,FashionMNIST,SGD,0.0001,16,14,False,cuda,88.75,1041551.5,2.623
ResNet-18,FashionMNIST,Adam,0.001,16,14,False,cuda,93.49,512544.4,1.116
ResNet-50,FashionMNIST,Adam,0.001,16,14,False,cuda,93.43,1118528.8,2.623
ResNet-18,FashionMNIST,Adam,0.0001,16,14,False,cuda,93.34,518971.0,1.116
ResNet-50,FashionMNIST,Adam,0.0001,16,14,False,cuda,93.51,1129457.8,2.623
ResNet-18,FashionMNIST,SGD,0.001,32,14,False,cuda,92.32,248470.4,1.116
ResNet-50,FashionMNIST,SGD,0.001,32,14,False,cuda,92.21,591081.9,2.623
ResNet-18,FashionMNIST,SGD,0.0001,32,14,False,cuda,88.91,302775.9,1.116
ResNet-50,FashionMNIST,SGD,0.0001,32,14,False,cuda,85.76,556759.2,2.623
ResNet-18,FashionMNIST,Adam,0.001,32,14,False,cuda,93.43,264325.3,1.116
ResNet-50,FashionMNIST,Adam,0.001,32,14,False,cuda,93.76,592940.4,2.623
ResNet-18,FashionMNIST,Adam,0.0001,32,14,False,cuda,92.98,271348.2,1.116
ResNet-50,FashionMNIST,Adam,0.0001,32,14,False,cuda,92.66,591213.4,2.623
ResNet-18,FashionMNIST,SGD,0.001,16,14,True,cuda,93.17,455332.0,1.116
ResNet-50,FashionMNIST,SGD,0.001,16,14,True,cuda,92.91,1008739.8,2.623
ResNet-18,FashionMNIST,SGD,0.0001,16,14,True,cuda,90.47,449630.6,1.116
ResNet-50,FashionMNIST,SGD,0.0001,16,14,True,cuda,88.69,1025317.3,2.623
ResNet-18,FashionMNIST,Adam,0.001,16,14,True,cuda,93.71,481433.5,1.116
ResNet-50,FashionMNIST,Adam,0.001,16,14,True,cuda,93.51,1108225.2,2.623
ResNet-18,FashionMNIST,Adam,0.0001,16,14,True,cuda,93.37,487643.9,1.116
ResNet-50,FashionMNIST,Adam,0.0001,16,14,True,cuda,93.39,1096729.6,2.623
ResNet-18,FashionMNIST,SGD,0.001,32,14,True,cuda,92.02,235932.3,1.116
ResNet-50,FashionMNIST,SGD,0.001,32,14,True,cuda,92.16,543229.5,2.623
ResNet-18,FashionMNIST,SGD,0.0001,32,14,True,cuda,88.59,235561.8,1.116
ResNet-50,FashionMNIST,SGD,0.0001,32,14,True,cuda,85.94,580809.3,2.623
ResNet-18,FashionMNIST,Adam,0.001,32,14,True,cuda,93.56,248835.7,1.116
ResNet-50,FashionMNIST,Adam,0.001,32,14,True,cuda,93.23,589244.1,2.623
ResNet-18,FashionMNIST,Adam,0.0001,32,14,True,cuda,93.02,248305.8,1.116
ResNet-50,FashionMNIST,Adam,0.0001,32,14,True,cuda,92.49,572642.5,2.623
