dataset,kernel,C,degree,gamma,test_acc,train_time_ms
MNIST,rbf,1.0,3,scale,92.1,10756.1
MNIST,rbf,10.0,3,scale,93.15,10024.8
MNIST,rbf,0.1,3,scale,85.7,19120.0
MNIST,poly,1.0,2,scale,93.1,12526.9
MNIST,poly,1.0,3,scale,87.25,20218.6
MNIST,poly,10.0,3,scale,94.1,13681.5
FashionMNIST,rbf,1.0,3,scale,85.65,8974.5
FashionMNIST,rbf,10.0,3,scale,87.1,8387.4
FashionMNIST,rbf,0.1,3,scale,80.55,13506.7
FashionMNIST,poly,1.0,2,scale,85.5,9173.1
FashionMNIST,poly,1.0,3,scale,83.15,10083.5
FashionMNIST,poly,10.0,3,scale,86.25,8153.5
