compute,model,batch_size,optimizer,lr,test_acc,train_time_ms,flops_g
CPU,ResNet-18,16,SGD,0.001,92.72,1010347.9,1.116
CPU,ResNet-18,16,Adam,0.001,93.51,1807036.5,1.116
CPU,ResNet-50,16,SGD,0.001,91.96,3376627.5,2.623
CPU,ResNet-50,16,Adam,0.001,93.09,4972450.0,2.623
CPU,ResNet-32,16,SGD,0.001,92.76,810925.2,0.141
CPU,ResNet-32,16,Adam,0.001,93.16,937975.5,0.141
GPU,ResNet-18,16,SGD,0.001,92.59,165841.7,1.116
GPU,ResNet-18,16,Adam,0.001,93.55,174093.3,1.116
GPU,ResNet-50,16,SGD,0.001,92.18,363910.9,2.623
GPU,ResNet-50,16,Adam,0.001,92.99,387396.9,2.623
GPU,ResNet-32,16,SGD,0.001,92.45,237592.6,0.141
GPU,ResNet-32,16,Adam,0.001,93.14,246649.3,0.141
